#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 10:24:38:0170,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:38:0170,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:38:0170,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:38:1170,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:38:1170,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:38:1170,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:38:1860,sensor,526,a0,adc,NXSCK
2021-09-14 10:24:38:1860,sensor,708,a1,adc,NXSCK
2021-09-14 10:24:38:1860,sensor,459,a2,adc,NXSCK
2021-09-14 10:24:38:2460,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:38:2460,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:38:2460,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:38:3040,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:38:3040,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:38:3040,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:38:3640,sensor,520,a0,adc,NXSCK
2021-09-14 10:24:38:3640,sensor,708,a1,adc,NXSCK
2021-09-14 10:24:38:3640,sensor,455,a2,adc,NXSCK
2021-09-14 10:24:38:4280,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:38:4280,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:38:4280,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:38:4840,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:38:4840,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:38:4840,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:38:5440,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:38:5440,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:38:5440,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:38:6040,sensor,545,a0,adc,NXSCK
2021-09-14 10:24:38:6040,sensor,713,a1,adc,NXSCK
2021-09-14 10:24:38:6040,sensor,463,a2,adc,NXSCK
2021-09-14 10:24:38:6630,IMU,-53,ax,acceleration,NXSCK
2021-09-14 10:24:38:6630,IMU,13,ay,acceleration,NXSCK
2021-09-14 10:24:38:6630,IMU,-954,az,acceleration,NXSCK
2021-09-14 10:24:38:7240,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:38:7240,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:38:7240,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:38:7840,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:38:7840,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:38:7840,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:38:8440,sensor,575,a0,adc,NXSCK
2021-09-14 10:24:38:8440,sensor,709,a1,adc,NXSCK
2021-09-14 10:24:38:8440,sensor,462,a2,adc,NXSCK
2021-09-14 10:24:38:9040,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:38:9040,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:38:9040,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:38:9640,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:38:9640,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:38:9640,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:39:0240,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:39:0240,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:39:0240,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:39:0830,sensor,575,a0,adc,NXSCK
2021-09-14 10:24:39:0830,sensor,717,a1,adc,NXSCK
2021-09-14 10:24:39:0830,sensor,457,a2,adc,NXSCK
