#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 13:22:05:6460,IMU,99,my,magnet,NXSCK
2021-09-14 13:22:05:6460,IMU,21,mz,magnet,NXSCK
2021-09-14 13:22:05:7360,sensor,730,a0,adc,NXSCK
2021-09-14 13:22:05:7360,sensor,333,a1,adc,NXSCK
2021-09-14 13:22:05:7360,sensor,77,a2,adc,NXSCK
2021-09-14 13:22:05:7960,IMU,-601,ax,acceleration,NXSCK
2021-09-14 13:22:05:7960,IMU,-439,ay,acceleration,NXSCK
2021-09-14 13:22:05:7960,IMU,-586,az,acceleration,NXSCK
2021-09-14 13:22:05:8550,IMU,-116,gx,gyration,NXSCK
2021-09-14 13:22:05:8550,IMU,8,gy,gyration,NXSCK
2021-09-14 13:22:05:8550,IMU,-61,gz,gyration,NXSCK
2021-09-14 13:22:05:9130,IMU,10,mx,magnet,NXSCK
2021-09-14 13:22:05:9130,IMU,120,my,magnet,NXSCK
2021-09-14 13:22:05:9130,IMU,49,mz,magnet,NXSCK
2021-09-14 13:22:06:0040,sensor,2240,a0,adc,NXSCK
2021-09-14 13:22:06:0040,sensor,2059,a1,adc,NXSCK
2021-09-14 13:22:06:0040,sensor,70,a2,adc,NXSCK
2021-09-14 13:22:06:0950,IMU,-388,ax,acceleration,NXSCK
2021-09-14 13:22:06:0950,IMU,-617,ay,acceleration,NXSCK
2021-09-14 13:22:06:0950,IMU,-611,az,acceleration,NXSCK
2021-09-14 13:22:06:1550,IMU,227,gx,gyration,NXSCK
2021-09-14 13:22:06:1550,IMU,171,gy,gyration,NXSCK
2021-09-14 13:22:06:1550,IMU,-9,gz,gyration,NXSCK
2021-09-14 13:22:06:2150,IMU,2,mx,magnet,NXSCK
2021-09-14 13:22:06:2150,IMU,131,my,magnet,NXSCK
2021-09-14 13:22:06:2150,IMU,62,mz,magnet,NXSCK
2021-09-14 13:22:06:2750,sensor,2420,a0,adc,NXSCK
2021-09-14 13:22:06:2750,sensor,2045,a1,adc,NXSCK
2021-09-14 13:22:06:2750,sensor,580,a2,adc,NXSCK
2021-09-14 13:22:06:3350,IMU,-429,ax,acceleration,NXSCK
2021-09-14 13:22:06:3350,IMU,241,ay,acceleration,NXSCK
2021-09-14 13:22:06:3350,IMU,-1113,az,acceleration,NXSCK
2021-09-14 13:22:06:4240,IMU,-3,gx,gyration,NXSCK
2021-09-14 13:22:06:4240,IMU,-239,gy,gyration,NXSCK
2021-09-14 13:22:06:4240,IMU,42,gz,gyration,NXSCK
2021-09-14 13:22:06:4840,IMU,0,mx,magnet,NXSCK
2021-09-14 13:22:06:4840,IMU,107,my,magnet,NXSCK
2021-09-14 13:22:06:4840,IMU,84,mz,magnet,NXSCK
2021-09-14 13:22:06:5460,sensor,1307,a0,adc,NXSCK
2021-09-14 13:22:06:5460,sensor,898,a1,adc,NXSCK
2021-09-14 13:22:06:5460,sensor,2256,a2,adc,NXSCK
2021-09-14 13:22:06:6040,IMU,-1337,ax,acceleration,NXSCK
2021-09-14 13:22:06:6040,IMU,-128,ay,acceleration,NXSCK
2021-09-14 13:22:06:6040,IMU,-164,az,acceleration,NXSCK
2021-09-14 13:22:06:6650,IMU,-243,gx,gyration,NXSCK
2021-09-14 13:22:06:6650,IMU,-32,gy,gyration,NXSCK
2021-09-14 13:22:06:6650,IMU,-25,gz,gyration,NXSCK
2021-09-14 13:22:06:7250,IMU,16,mx,magnet,NXSCK
2021-09-14 13:22:06:7250,IMU,103,my,magnet,NXSCK
2021-09-14 13:22:06:7250,IMU,48,mz,magnet,NXSCK
2021-09-14 13:22:06:7860,sensor,0,a0,adc,NXSCK
2021-09-14 13:22:06:7860,sensor,135,a1,adc,NXSCK
2021-09-14 13:22:06:7860,sensor,807,a2,adc,NXSCK
2021-09-14 13:22:06:8430,IMU,-748,ax,acceleration,NXSCK
2021-09-14 13:22:06:8430,IMU,242,ay,acceleration,NXSCK
2021-09-14 13:22:06:8430,IMU,-321,az,acceleration,NXSCK
2021-09-14 13:22:06:9340,IMU,-48,gx,gyration,NXSCK
2021-09-14 13:22:06:9340,IMU,-195,gy,gyration,NXSCK
