time,measurement,value,field,type,device
2021-09-14 15:37:09:0860,sensor,201,a2,adc,NXSCK
2021-09-14 15:37:09:2660,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:09:2660,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:09:2660,IMU,-14,mz,magnet,NXSCK
2021-09-14 15:37:09:3860,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:09:3860,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:09:3860,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:09:5660,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:09:5660,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:09:5660,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:09:6570,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:09:6570,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:37:09:6570,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:09:8360,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:09:8360,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:09:8360,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:09:8960,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:09:8960,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:09:8960,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:09:9860,IMU,5,gx,gyration,NXSCK
2021-09-14 15:37:09:9860,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:09:9860,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:10:1060,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:10:1060,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:10:1060,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:10:3770,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:10:3770,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:37:10:3770,IMU,891,az,acceleration,NXSCK
2021-09-14 15:37:10:6770,sensor,923,a0,adc,NXSCK
2021-09-14 15:37:10:6770,sensor,120,a1,adc,NXSCK
2021-09-14 15:37:10:6770,sensor,188,a2,adc,NXSCK
2021-09-14 15:37:10:8260,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:10:8260,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:10:8260,IMU,-14,mz,magnet,NXSCK
2021-09-14 15:37:10:9760,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:10:9760,IMU,-432,ay,acceleration,NXSCK
2021-09-14 15:37:10:9760,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:11:0350,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:11:0350,IMU,70,my,magnet,NXSCK
2021-09-14 15:37:11:0350,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:11:1880,sensor,930,a0,adc,NXSCK
2021-09-14 15:37:11:1880,sensor,120,a1,adc,NXSCK
2021-09-14 15:37:11:1880,sensor,192,a2,adc,NXSCK
2021-09-14 15:37:11:3370,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:11:3370,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:11:3370,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:11:5170,sensor,926,a0,adc,NXSCK
2021-09-14 15:37:11:5170,sensor,120,a1,adc,NXSCK
2021-09-14 15:37:11:5170,sensor,184,a2,adc,NXSCK
2021-09-14 15:37:11:7860,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:11:7860,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:11:7860,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:11:9660,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:11:9660,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:11:9660,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:12:1170,sensor,924,a0,adc,NXSCK
2021-09-14 15:37:12:1170,sensor,117,a1,adc,NXSCK
2021-09-14 15:37:12:1170,sensor,190,a2,adc,NXSCK
2021-09-14 15:37:12:2960,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:12:2960,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:37:12:2960,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:12:4460,sensor,932,a0,adc,NXSCK
