#,firmware,0.0.1,0.0.1,
#,devices,NXSID007,NXSAMPLEX,
#,product types,SLEEVE,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 14:49:12:7640,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:12:8240,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:12:8240,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:12:8240,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:12:8850,IMU,-1002,mx,magnet,NXSAMPLEX
2021-09-14 14:49:12:8850,IMU,-1326,my,magnet,NXSAMPLEX
2021-09-14 14:49:12:8850,IMU,-8761,mz,magnet,NXSAMPLEX
2021-09-14 14:49:12:9470,sensor,1557,a0,adc,NXSAMPLEX
2021-09-14 14:49:12:9470,sensor,7,a1,adc,NXSAMPLEX
2021-09-14 14:49:12:9470,sensor,65,a2,adc,NXSAMPLEX
2021-09-14 14:49:13:0050,IMU,-145,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:13:0050,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:13:0050,IMU,926,az,acceleration,NXSAMPLEX
2021-09-14 14:49:13:0960,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:13:0960,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:13:0960,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:13:1560,IMU,-1019,mx,magnet,NXSAMPLEX
2021-09-14 14:49:13:1560,IMU,-1299,my,magnet,NXSAMPLEX
2021-09-14 14:49:13:1560,IMU,-8750,mz,magnet,NXSAMPLEX
2021-09-14 14:49:13:2160,sensor,1566,a0,adc,NXSAMPLEX
2021-09-14 14:49:13:2160,sensor,7,a1,adc,NXSAMPLEX
2021-09-14 14:49:13:2160,sensor,65,a2,adc,NXSAMPLEX
2021-09-14 14:49:13:2750,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:13:2750,IMU,-286,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:13:2750,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:13:3360,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:13:3360,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:13:3360,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:13:3970,IMU,-1000,mx,magnet,NXSAMPLEX
2021-09-14 14:49:13:3970,IMU,-1316,my,magnet,NXSAMPLEX
2021-09-14 14:49:13:3970,IMU,-8750,mz,magnet,NXSAMPLEX
2021-09-14 14:49:13:4560,sensor,1552,a0,adc,NXSAMPLEX
2021-09-14 14:49:13:4560,sensor,6,a1,adc,NXSAMPLEX
2021-09-14 14:49:13:4560,sensor,81,a2,adc,NXSAMPLEX
2021-09-14 14:49:13:5140,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:13:5140,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:13:5140,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:13:5750,IMU,8,gx,gyration,NXSAMPLEX
2021-09-14 14:49:13:5750,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:13:5750,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:13:6380,IMU,-974,mx,magnet,NXSAMPLEX
2021-09-14 14:49:13:6380,IMU,-1299,my,magnet,NXSAMPLEX
2021-09-14 14:49:13:6380,IMU,-8751,mz,magnet,NXSAMPLEX
2021-09-14 14:49:13:6960,sensor,1548,a0,adc,NXSAMPLEX
2021-09-14 14:49:13:6960,sensor,4,a1,adc,NXSAMPLEX
2021-09-14 14:49:13:6960,sensor,63,a2,adc,NXSAMPLEX
2021-09-14 14:49:13:7540,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:13:7540,IMU,-286,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:13:7540,IMU,926,az,acceleration,NXSAMPLEX
2021-09-14 14:49:13:8160,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:13:8160,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:13:8160,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:13:8770,IMU,-984,mx,magnet,NXSAMPLEX
2021-09-14 14:49:13:8770,IMU,-1327,my,magnet,NXSAMPLEX
2021-09-14 14:49:13:8770,IMU,-8765,mz,magnet,NXSAMPLEX
2021-09-14 14:49:13:9360,sensor,1555,a0,adc,NXSAMPLEX
2021-09-14 14:49:13:9360,sensor,4,a1,adc,NXSAMPLEX
2021-09-14 14:49:13:9360,sensor,80,a2,adc,NXSAMPLEX
2021-09-14 14:49:13:9940,IMU,-141,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:13:9940,IMU,-288,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:13:9940,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:14:0550,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:14:0550,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:14:0550,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:14:1150,IMU,-990,mx,magnet,NXSAMPLEX
2021-09-14 14:49:14:1150,IMU,-1292,my,magnet,NXSAMPLEX
2021-09-14 14:49:14:1150,IMU,-8770,mz,magnet,NXSAMPLEX
2021-09-14 14:49:14:2070,sensor,1400,a0,adc,NXSAMPLEX
2021-09-14 14:49:14:2070,sensor,6,a1,adc,NXSAMPLEX
2021-09-14 14:49:14:2070,sensor,70,a2,adc,NXSAMPLEX
2021-09-14 14:49:14:2640,IMU,-141,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:14:2640,IMU,-288,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:14:2640,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:14:3240,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:14:3240,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:14:3240,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:14:3850,IMU,-993,mx,magnet,NXSAMPLEX
2021-09-14 14:49:14:3850,IMU,-1304,my,magnet,NXSAMPLEX
2021-09-14 14:49:14:3850,IMU,-8749,mz,magnet,NXSAMPLEX
2021-09-14 14:49:14:4470,sensor,1327,a0,adc,NXSAMPLEX
2021-09-14 14:49:14:4470,sensor,12,a1,adc,NXSAMPLEX
2021-09-14 14:49:14:4470,sensor,67,a2,adc,NXSAMPLEX
2021-09-14 14:49:14:5040,IMU,-144,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:14:5040,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:14:5040,IMU,924,az,acceleration,NXSAMPLEX
2021-09-14 14:49:14:5640,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:14:5640,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:14:5640,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:14:6260,IMU,-994,mx,magnet,NXSAMPLEX
2021-09-14 14:49:14:6260,IMU,-1331,my,magnet,NXSAMPLEX
2021-09-14 14:49:14:6260,IMU,-8731,mz,magnet,NXSAMPLEX
2021-09-14 14:49:14:6860,sensor,1606,a0,adc,NXSAMPLEX
2021-09-14 14:49:14:6860,sensor,8,a1,adc,NXSAMPLEX
2021-09-14 14:49:14:6860,sensor,82,a2,adc,NXSAMPLEX
2021-09-14 14:49:14:7440,IMU,-145,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:14:7440,IMU,-289,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:14:7440,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:14:8040,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:14:8040,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:14:8040,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:14:8650,IMU,-1013,mx,magnet,NXSAMPLEX
2021-09-14 14:49:14:8650,IMU,-1313,my,magnet,NXSAMPLEX
2021-09-14 14:49:14:8650,IMU,-8763,mz,magnet,NXSAMPLEX
2021-09-14 14:49:14:9240,sensor,1501,a0,adc,NXSAMPLEX
2021-09-14 14:49:14:9240,sensor,2,a1,adc,NXSAMPLEX
2021-09-14 14:49:14:9240,sensor,70,a2,adc,NXSAMPLEX
2021-09-14 14:49:14:9840,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:14:9840,IMU,-289,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:14:9840,IMU,924,az,acceleration,NXSAMPLEX
2021-09-14 14:49:15:0740,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:15:0740,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:15:0740,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:15:1650,IMU,-985,mx,magnet,NXSAMPLEX
2021-09-14 14:49:15:1650,IMU,-1320,my,magnet,NXSAMPLEX
2021-09-14 14:49:15:1650,IMU,-8735,mz,magnet,NXSAMPLEX
2021-09-14 14:49:15:2240,sensor,1483,a0,adc,NXSAMPLEX
2021-09-14 14:49:15:2240,sensor,10,a1,adc,NXSAMPLEX
2021-09-14 14:49:15:2240,sensor,66,a2,adc,NXSAMPLEX
2021-09-14 14:49:15:3140,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:15:3140,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:15:3140,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:15:3740,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:15:3740,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:15:3740,IMU,-11,gz,gyration,NXSAMPLEX
